20150911,26.0mm
20150912,0.4mm
20150913,18.0mm
20150914,8.0mm
20150915,7.0mm
20150916,0.0mm
20150917,2.0mm
20150918,0.2mm
20150919,0.1mm
20150920,7.0mm
20150921,0.4mm
20150922,0.1mm
20150923,0.2mm
20150924,0.1mm
20150925,0.0mm
20150926,0.0mm
20150927,0.0mm
20150928,0.1mm
20150929,0.0mm
20150930,0.1mm
20151001,0.1mm
20151002,0.1mm
20151003,0.0mm
20151004,2.0mm
20151005,2.0mm
20151006,0.2mm
20151007,0.0mm
20151008,2.0mm
20151009,0.0mm
20151010,0.0mm
20151011,0.0mm
20151012,0.0mm
20151013,0.0mm
20151014,0.1mm
20151015,0.0mm
20151016,0.0mm
20151017,0.0mm
20151018,0.3mm
20151019,0.0mm
20151020,0.1mm
20151021,0.0mm
20151022,0.0mm
20151023,4.0mm
20151024,0.1mm
20151025,0.0mm
20151026,12.0mm
20151027,4.0mm
20151028,1.0mm
20151029,0.4mm
20151030,7.0mm
20151031,0.0mm
20151101,0.3mm
